lg,item,syn,sentence,condition,headn,attn,verbn,source_file,language,leftward_entropy,leftward_attn_diff,leftward_attn_to_head,leftward_attn_to_attractor,nsubj_entropy,nsubj_attn_diff,nsubj_attn_to_head,nsubj_attn_to_attractor,top5_layer,top5_entropy,top5_attn_diff,top5_attn_to_head,top5_attn_to_attractor,top5_head_in_top5
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladılar,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.4278983,0.03145955691579729,0.08325520609505474,0.051795649179257455,0.89927626,-0.004947583998649386,0.01610540572842183,0.021052989727071213,8,1.650655,0.009870345704257488,0.05781940184533596,0.04794905614107847,0.0
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladı,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.4506016,0.03388290461152792,0.0871613678522408,0.05327846324071288,0.86325806,-0.008182263621053653,0.013944162441521257,0.02212642606257491,8,1.6815706,0.00999472290277481,0.06249292194843292,0.05249819904565811,0.0
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladılar,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.5224912,-0.023522704653441907,0.06783810965716838,0.0913608143106103,0.91378975,-0.013014539823129213,0.014306313083943678,0.02732085290707289,8,1.6427779,-0.01609746925532818,0.0422320868819952,0.05832955613732338,0.0
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladı,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.5495285,-0.020647926721721888,0.07472479082643986,0.09537271754816175,0.8930659,-0.013042842105380714,0.013637440672027878,0.026680282777408592,8,1.6840718,-0.024058811366558075,0.04580587521195412,0.06986468657851219,0.0
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldılar,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.4990069,0.014486809105922779,0.08834551984133819,0.07385871073541542,1.021093,-0.0010634577019459357,0.02024913372079027,0.021312591422736206,8,1.7289783,-0.01699637807905674,0.0454867829879125,0.06248316106696924,0.0
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldı,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.3962024,0.02729626806685701,0.09478574790991842,0.06748947984306142,0.9138468,-0.0021915468667110362,0.016849700634884356,0.019041247501595394,8,1.6014009,-0.028014425188302994,0.0471748523414135,0.07518927752971649,0.0
turkish,2,0,öğrencinin ablası sınıfta birden bayıldılar,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.5083934,0.0315466205123812,0.09059534069771567,0.05904872018533448,1.0134062,0.0005682665862101051,0.018491596351926393,0.01792332976571629,8,1.7285951,-0.004894319921731949,0.04685730362931887,0.05175162355105082,0.0
turkish,2,0,öğrencinin ablası sınıfta birden bayıldı,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.3959596,0.03531875158660114,0.09282814655452967,0.05750939496792853,0.919462,-0.0031783796420945974,0.01626529525956357,0.01944367490165817,8,1.6177368,-0.03860962949693203,0.04716319404542446,0.08577282354235649,0.0
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.7103319,-0.0043836069293320176,0.0962424049153924,0.10062601184472442,1.0509806,-0.047858503874223676,0.02004803785232827,0.06790654172655194,8,1.8611948,-0.04356961511075497,0.03331169672310352,0.07688131183385849,0.0
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.7066498,0.00820616101846099,0.10297793028876186,0.09477176927030087,1.0533783,-0.03718128191283228,0.021878904842400005,0.05906018675523228,8,1.8845108,-0.04065791144967079,0.04108709469437599,0.08174500614404678,0.0
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.6837679,0.006047918694093823,0.09836924751289189,0.09232132881879807,1.047995,-0.044944380396901094,0.017128511303935313,0.06207289170083641,8,1.7918867,-0.03666103258728981,0.028131701052188873,0.06479273363947868,0.0
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.6884292,0.011940847616642714,0.10327909449115395,0.09133824687451124,1.0478871,-0.03434310140919692,0.018932972738455334,0.05327607414765225,8,1.837514,-0.045428250916302204,0.03557353839278221,0.08100178930908442,0.0
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldüler,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.5491899,0.017135558906011282,0.09702067095786333,0.07988511205185204,0.88726676,-0.032383304701892254,0.012086481347023437,0.044469786048915695,8,1.6680139,-0.016789515037089586,0.03963511995971203,0.056424634996801615,0.5
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldü,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.5901542,0.03968244027346372,0.11419703811407089,0.07451459784060717,0.9166359,-0.021427585435637296,0.013068373171881831,0.034495958607519125,8,1.7250614,-0.02169104991480708,0.04801587574183941,0.06970692565664649,0.5
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldüler,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.5445623,0.027159699331969024,0.1005150337703526,0.07335533443838357,0.8849374,-0.033813559092047286,0.011220240677312176,0.045033799769359464,8,1.6693654,-0.020344078540802002,0.035704927518963814,0.056049006059765816,0.5
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldü,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.5876251,0.04582939622923732,0.11593713238835335,0.07010773615911603,0.9181913,-0.020483901338468512,0.012328343853278056,0.03281224519174657,8,1.7389864,-0.025661826133728027,0.044227199628949165,0.06988902576267719,0.5
turkish,5,0,kızların halası sabaha kadar ağladılar,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.3661923,-0.000443338617333211,0.08323885603167583,0.08368219464900903,0.9634611,-0.009514968521818901,0.019603918942664222,0.02911888746448312,8,1.5485455,-0.028166365809738636,0.044986071065068245,0.07315243687480688,0.5
turkish,5,0,kızların halası sabaha kadar ağladı,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.3814871,-0.0011596436888794415,0.08070022676402004,0.08185987045289948,0.9599145,-0.001973492947354316,0.02041562316328509,0.022389116110639408,8,1.5594707,-0.026349332183599472,0.04737424850463867,0.07372358068823814,0.5
turkish,5,0,kızın halası sabaha kadar ağladılar,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.3609356,-0.003431203706713859,0.08275575228472007,0.08618695599143393,0.94780463,-0.004058024796927384,0.018337704862483407,0.02239572965941079,8,1.5502341,-0.030603384599089622,0.04172603599727154,0.07232942059636116,0.0
turkish,5,0,kızın halası sabaha kadar ağladı,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.3715603,-0.01752084000763716,0.07744015736243455,0.09496099737007171,0.95761776,-0.003189093937180587,0.020326819277943286,0.023515913215123873,8,1.597444,-0.040996113792061806,0.046588070690631866,0.08758418448269367,0.0
turkish,6,0,damatların dayısı arada sırada sıkıldılar,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.5391713,0.026068834864418022,0.10528900334320497,0.07922016847878695,1.0055249,-0.0008524446941394537,0.027511577836163693,0.028364022530303144,8,1.7837366,-0.006545661948621273,0.05196614097803831,0.058511802926659584,0.25
turkish,6,0,damatların dayısı arada sırada sıkıldı,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.4929034,0.024003723966112982,0.09913822248345242,0.07513449851733943,1.0253342,0.006524790837581425,0.03592164859012617,0.029396857752544747,8,1.7562398,-0.007163527111212413,0.06192956864833832,0.06909309575955074,0.6666666666666666
turkish,6,0,damatın dayısı arada sırada sıkıldılar,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.5336463,0.018899277271702885,0.09940502743120305,0.08050575015950016,1.0106198,-0.000529937669268099,0.02533928695183314,0.02586922462110124,8,1.7426149,-0.004848342388868332,0.04333267826586962,0.04818102065473795,0.25
turkish,6,0,damatın dayısı arada sırada sıkıldı,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.4929061,0.014699830984075865,0.08818736199755221,0.07348753101347635,1.0520633,-0.0008374518618154525,0.038190715634753285,0.03902816749656874,8,1.7295113,-0.017074450850486755,0.051956007877985634,0.0690304587284724,0.6666666666666666
turkish,7,0,doktorların çiçekçisi günden güne zayıfladılar,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.4814242,0.08044499699026346,0.13120994828641414,0.05076495129615068,0.9067565,0.0016108420314843385,0.023888585634881564,0.022277743603397227,8,1.521997,0.0020805709064006805,0.06709069386124611,0.06501012295484543,0.5
turkish,7,0,doktorların çiçekçisi günden güne zayıfladı,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.4591186,0.08519905956927687,0.13371348585933446,0.0485144262900576,0.8624588,0.004676774569074382,0.022549228167918045,0.017872453598843662,8,1.5158722,0.020604612305760384,0.07024087011814117,0.04963625781238079,0.5
turkish,7,0,doktorun çiçekçisi günden güne zayıfladılar,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.4934053,0.06949879080057145,0.12121854405850171,0.05171975325793028,0.8975049,-0.0025635189761349154,0.021271047323944005,0.023834566300078918,8,1.5236266,-0.003953205421566963,0.06411891430616379,0.06807211972773075,0.5
turkish,7,0,doktorun çiçekçisi günden güne zayıfladı,condition_d,sg,sg,sg,tr_rus_all_conditions.csv,turkish,1.4810694,0.06466806104872376,0.12016229052096605,0.05549422947224229,0.8754724,0.002411020230326244,0.02192012537516348,0.019509105144837235,8,1.5402759,-0.02000642567873001,0.06096535921096802,0.08097178488969803,0.5
turkish,8,0,stajyerlerin eniştesi geceden önce uyudular,condition_a,sg,pl,pl,tr_rus_all_conditions.csv,turkish,1.5429153,0.0026881743222475054,0.10470753679983318,0.10201936247758567,1.037236,-0.04530453799779934,0.020723841940343844,0.06602837993814319,8,1.7685823,-0.04814557358622551,0.041310109198093414,0.08945568278431892,0.0
turkish,8,0,stajyerlerin eniştesi geceden önce uyudu,condition_b,sg,pl,sg,tr_rus_all_conditions.csv,turkish,1.5371706,0.01382923002820462,0.11196365754585713,0.09813442751765251,1.0164433,-0.03309464889866831,0.01823345597458683,0.05132810487325514,8,1.7317618,-0.03740541823208332,0.039714451879262924,0.07711987011134624,0.0
turkish,8,0,stajyerin eniştesi geceden önce uyudular,condition_c,sg,sg,pl,tr_rus_all_conditions.csv,turkish,1.5408412,0.009119313210248947,0.09929404729045928,0.09017473408021033,1.0338733,-0.03402913608092604,0.020547480887762502,0.05457661696868854,8,1.7405999,-0.03817382827401161,0.04026716947555542,0.07844099774956703,0.0
