lg,item,syn,sentence,condition,headn,attn,verbn,source_file,language,leftward_entropy,leftward_attn_diff,leftward_attn_to_head,leftward_attn_to_attractor,nsubj_entropy,nsubj_attn_diff,nsubj_attn_to_head,nsubj_attn_to_attractor,top5_layer,top5_entropy,top5_attn_diff,top5_attn_to_head,top5_attn_to_attractor,top5_head_in_top5
russian,1,0,Абонемент на концерт был дорогим из-за участия популярных артистов,SG-SG-SG,SG,SG,SG,tr_rus_all_conditions.csv,russian,1.3497477,0.15946218210738153,0.4277695758966729,0.26830739378929136,1.5848243,0.002996263919427378,0.04980794468785561,0.04681168076842823,8,2.2718635,0.08193404227495193,0.13043445348739624,0.048500411212444305,1.0
russian,1,0,Абонемент на концерт были дорогими из-за участия популярных артистов,SG-SG-PL,SG,SG,PL,tr_rus_all_conditions.csv,russian,1.4683766,0.15725676876027136,0.38994547836482524,0.23268870960455387,1.5680941,0.028396434051949183,0.05999098264009488,0.0315945485881457,8,2.296965,0.13472969084978104,0.1822102665901184,0.04748057574033737,1.0
russian,1,0,Абонемент на концерты был дорогим из-за участия популярных артистов,SG-PL-SG,SG,PL,SG,tr_rus_all_conditions.csv,russian,1.3025409,0.23982385132694617,0.471692327974597,0.2318684766476508,1.5632741,-0.0018876449947880403,0.050473398799572244,0.05236104379436028,8,2.2462444,0.09423119574785233,0.1358664184808731,0.04163522273302078,1.0
russian,1,0,Абонемент на концерты были дорогими из-за участия популярных артистов,SG-PL-PL,SG,PL,PL,tr_rus_all_conditions.csv,russian,1.5072839,0.052707032999023795,0.34561401843093337,0.2929069854319096,1.5790471,0.0100435913369882,0.05213688980263562,0.042093298465647425,8,2.275202,0.12298914045095444,0.1760260909795761,0.053036950528621674,1.0
russian,1,0,Абонементы на концерт был дорогим из-за участия популярных артистов,PL-SG-SG,PL,SG,SG,tr_rus_all_conditions.csv,russian,1.4971555,-0.007993729025474749,0.3154673271026695,0.32346105612814424,1.5992067,0.021438766943668152,0.07103535411968584,0.04959658717601769,8,2.196897,0.11603499948978424,0.1673925668001175,0.05135756731033325,1.0
russian,1,0,Абонементы на концерт были дорогими из-за участия популярных артистов,PL-SG-PL,PL,SG,PL,tr_rus_all_conditions.csv,russian,1.3612505,0.2198451286472846,0.4424021461396478,0.22255701749236323,1.5532215,0.028264337950685902,0.0580741481168567,0.02980981016617079,8,2.2698462,0.10592040792107582,0.15130376815795898,0.04538336023688316,1.0
russian,1,0,Абонементы на концерты был дорогим из-за участия популярных артистов,PL-PL-SG,PL,PL,SG,tr_rus_all_conditions.csv,russian,1.4947053,0.1407775082916487,0.3812390929379035,0.24046158464625478,1.5790975,0.01531734615692928,0.06718439874714024,0.05186705259021096,8,2.1449316,0.11460567638278008,0.1545238196849823,0.039918143302202225,1.0
russian,1,0,Абонементы на концерты были дорогими из-за участия популярных артистов,PL-PL-PL,PL,PL,PL,tr_rus_all_conditions.csv,russian,1.3897356,0.19180241683498025,0.4308472051285207,0.23904478829354048,1.5679692,0.015433222775223587,0.053684894135929626,0.03825167136070604,8,2.2517111,0.10370256006717682,0.1475411057472229,0.04383854568004608,1.0
russian,2,0,Анекдот про экзамен для строгого пожилого учителя был обидным,SG-SG-SG,SG,SG,SG,tr_rus_all_conditions.csv,russian,1.2313898,-0.5352683431831338,0.08623014321651681,0.6214984863996506,1.4009786,-0.057716660242072136,0.008635411614646316,0.06635207185671846,8,2.339223,-0.13123324885964394,0.06003047153353691,0.19126372039318085,0.0
russian,2,0,Анекдот про экзамен для строгого пожилого учителя были обидными,SG-SG-PL,SG,SG,PL,tr_rus_all_conditions.csv,russian,1.2448763,-0.5219704275669528,0.09452599531989563,0.6164964228868485,1.3977402,-0.05134361102582989,0.008652056518236684,0.05999566754406658,8,2.3599958,-0.1089712381362915,0.07648137211799622,0.18545261025428772,0.0
