item,sentence,condition,head_num,attr_num,verb_num,verb,surprisal,model,token
1,yöneticilerin aşçısı mutfakta sürekli zıpladılar,condition_a,sg,pl,pl,zıpladılar,14.773258802250608,bert,
1,yöneticilerin aşçısı mutfakta sürekli zıpladı,condition_b,sg,pl,sg,zıpladı,14.773258802250608,bert,
1,yöneticinin aşçısı mutfakta sürekli zıpladılar,condition_c,sg,sg,pl,zıpladılar,14.286446086579547,bert,
1,yöneticinin aşçısı mutfakta sürekli zıpladı,condition_d,sg,sg,sg,zıpladı,14.286446086579547,bert,
2,öğrencilerin ablası sınıfta birden bayıldılar,condition_a,sg,pl,pl,bayıldılar,13.548020000973786,bert,
2,öğrencilerin ablası sınıfta birden bayıldı,condition_b,sg,pl,sg,bayıldı,13.548020000973786,bert,
2,öğrencinin ablası sınıfta birden bayıldılar,condition_c,sg,sg,pl,bayıldılar,13.797352193027445,bert,
2,öğrencinin ablası sınıfta birden bayıldı,condition_d,sg,sg,sg,bayıldı,13.797352193027445,bert,
3,marangozların abisi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,uzaklaştılar,15.500025839989076,bert,
3,marangozların abisi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,uzaklaştı,15.500025839989076,bert,
3,marangozun abisi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,uzaklaştılar,15.614436954510259,bert,
3,marangozun abisi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,uzaklaştı,15.614436954510259,bert,
4,mahallelilerin emlakçısı aniden küstahça güldüler,condition_a,sg,pl,pl,güldüler,15.558922330672951,bert,
4,mahallelilerin emlakçısı aniden küstahça güldü,condition_b,sg,pl,sg,güldü,15.558922330672951,bert,
4,mahallelinin emlakçısı aniden küstahça güldüler,condition_c,sg,sg,pl,güldüler,15.472121998851888,bert,
4,mahallelinin emlakçısı aniden küstahça güldü,condition_d,sg,sg,sg,güldü,15.472121998851888,bert,
5,kızların halası sabaha kadar ağladılar,condition_a,sg,pl,pl,ağladılar,14.309348672229646,bert,
5,kızların halası sabaha kadar ağladı,condition_b,sg,pl,sg,ağladı,14.309348672229646,bert,
5,kızın halası sabaha kadar ağladılar,condition_c,sg,sg,pl,ağladılar,14.474160334482079,bert,
5,kızın halası sabaha kadar ağladı,condition_d,sg,sg,sg,ağladı,14.474160334482079,bert,
